 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://172.19.0.7:4444/ (Press CTRL+C to quit)
127.0.0.1 - - [27/Apr/2023 09:16:46] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:18:03] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:18:16] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:18:46] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:19:16] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:19:46] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:20:16] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:20:47] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:21:17] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:21:47] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2023 09:22:17] "GET /hi HTTP/1.1" 200 -
222.201.187.50 - - [27/Apr/2023 09:22:46] "GET //log HTTP/1.1" 200 -
